CUMULATIVE EVALUATION RESULTS
Dataset: yelp
Seed: 42
================================================================================

Iteration  Samples Used  F1 Macro  Accuracy
     Seed            20  0.540862  0.546392
 Seed+1-1            30  0.654763  0.659794
 Seed+1-2            40  0.677218  0.680412
 Seed+1-3            50  0.694732  0.701031
 Seed+1-4            60  0.696754  0.701031
 Seed+1-5            70  0.611412  0.639175
 Seed+1-6            80  0.691377  0.701031
 Seed+1-7            90  0.688217  0.701031
 Seed+1-8           100  0.679956  0.690722
 Seed+1-9           110  0.692727  0.701031
Seed+1-10           120  0.713248  0.721649

================================================================================
